ID,FPS,LOOPTYPE,,
CastingCircle,20,0,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
Resources/assets/sprites/effects/CastingCircle_7.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_8.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_9.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_10.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_11.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_12.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_13.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_14.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_15.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_16.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_17.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_18.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_19.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_20.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_21.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_22.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_23.png,0,0,128,128
Resources/assets/sprites/effects/CastingCircle_24.png,0,0,128,128
