tileName,tileIndexX,tileIndexY,tileType,tileSize,tileScale,tileLayer,textureId,topTextureRectL,topTextureRectT,bottomTextureRectL,bottomTextureRectT
"Tile(0, 0)",0,0,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(0, 1)",0,1,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(0, 2)",0,2,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(0, 3)",0,3,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(0, 4)",0,4,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(0, 5)",0,5,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(0, 6)",0,6,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(0, 7)",0,7,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(0, 8)",0,8,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(0, 9)",0,9,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(0, 10)",0,10,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(0, 11)",0,11,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(0, 12)",0,12,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(0, 13)",0,13,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(0, 14)",0,14,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(0, 15)",0,15,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(1, 0)",1,0,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(1, 1)",1,1,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(1, 2)",1,2,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,16
"Tile(1, 3)",1,3,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,32
"Tile(1, 4)",1,4,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,48
"Tile(1, 5)",1,5,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,64
"Tile(1, 6)",1,6,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,80
"Tile(1, 7)",1,7,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,96
"Tile(1, 8)",1,8,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,144
"Tile(1, 9)",1,9,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,128
"Tile(1, 10)",1,10,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,144
"Tile(1, 11)",1,11,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,160
"Tile(1, 12)",1,12,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,128
"Tile(1, 13)",1,13,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,192
"Tile(1, 14)",1,14,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(1, 15)",1,15,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(2, 0)",2,0,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(2, 1)",2,1,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(2, 2)",2,2,2,16,4,0,graphics/editor/FireTileSet.png,0,0,16,16
"Tile(2, 3)",2,3,2,16,4,0,graphics/editor/FireTileSet.png,272,288,16,32
"Tile(2, 4)",2,4,2,16,4,0,graphics/editor/FireTileSet.png,272,304,16,48
"Tile(2, 5)",2,5,2,16,4,0,graphics/editor/FireTileSet.png,0,0,16,64
"Tile(2, 6)",2,6,0,16,4,0,graphics/editor/FireTileSet.png,0,0,16,80
"Tile(2, 7)",2,7,0,16,4,0,graphics/editor/FireTileSet.png,0,0,16,96
"Tile(2, 8)",2,8,0,16,4,0,graphics/editor/FireTileSet.png,0,0,16,112
"Tile(2, 9)",2,9,0,16,4,0,graphics/editor/FireTileSet.png,0,0,16,128
"Tile(2, 10)",2,10,0,16,4,0,graphics/editor/FireTileSet.png,0,0,16,144
"Tile(2, 11)",2,11,0,16,4,0,graphics/editor/FireTileSet.png,0,0,16,160
"Tile(2, 12)",2,12,0,16,4,0,graphics/editor/FireTileSet.png,0,0,16,176
"Tile(2, 13)",2,13,2,16,4,0,graphics/editor/FireTileSet.png,0,0,32,192
"Tile(2, 14)",2,14,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(2, 15)",2,15,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496
"Tile(3, 0)",3,0,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,16
"Tile(3, 1)",3,1,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,32
"Tile(3, 2)",3,2,2,16,4,0,graphics/editor/FireTileSet.png,0,0,224,160
"Tile(3, 3)",3,3,2,16,4,0,graphics/editor/FireTileSet.png,288,288,32,32
"Tile(3, 4)",3,4,2,16,4,0,graphics/editor/FireTileSet.png,288,304,32,48
"Tile(3, 5)",3,5,2,16,4,0,graphics/editor/FireTileSet.png,0,0,32,64
"Tile(3, 6)",3,6,0,16,4,0,graphics/editor/FireTileSet.png,0,0,32,80
"Tile(3, 7)",3,7,0,16,4,0,graphics/editor/FireTileSet.png,0,0,32,96
"Tile(3, 8)",3,8,0,16,4,0,graphics/editor/FireTileSet.png,0,0,32,112
"Tile(3, 9)",3,9,0,16,4,0,graphics/editor/FireTileSet.png,0,0,32,128
"Tile(3, 10)",3,10,0,16,4,0,graphics/editor/FireTileSet.png,0,0,32,144
"Tile(3, 11)",3,11,0,16,4,0,graphics/editor/FireTileSet.png,0,0,32,160
"Tile(3, 12)",3,12,0,16,4,0,graphics/editor/FireTileSet.png,0,0,32,96
"Tile(3, 13)",3,13,2,16,4,0,graphics/editor/FireTileSet.png,0,0,224,144
"Tile(3, 14)",3,14,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,176
"Tile(3, 15)",3,15,2,16,4,0,graphics/editor/FireTileSet.png,0,0,0,192
"Tile(4, 0)",4,0,2,16,4,0,graphics/editor/FireTileSet.png,0,0,16,16
"Tile(4, 1)",4,1,2,16,4,0,graphics/editor/FireTileSet.png,0,0,16,32
