ID,FPS,LOOPTYPE
AttackForeDown,10,1
,,
TEXTURE ID,,
graphics/Player/Attack/Down/AttackForeDown1.png,,
graphics/Player/Attack/Down/AttackForeDown2.png,,
graphics/Player/Attack/Down/AttackForeDown3.png,,
graphics/Player/Attack/Down/AttackForeDown4.png,,
graphics/Player/Attack/Down/AttackForeDown5.png,,
graphics/Player/Attack/Down/AttackForeDown6.png,,
graphics/Player/Attack/Down/AttackForeDown7.png,,
graphics/Player/Attack/Down/AttackForeDown8.png,,
graphics/Player/Attack/Down/AttackForeDown9.png,,
