ID,FPS,LOOPTYPE
AttackBackDown,10,1
,,
TEXTURE ID,,
graphics/Player/Attack/Down/AttackBackDown1.png,,
graphics/Player/Attack/Down/AttackBackDown2.png,,
graphics/Player/Attack/Down/AttackBackDown3.png,,
graphics/Player/Attack/Down/AttackBackDown4.png,,
graphics/Player/Attack/Down/AttackBackDown5.png,,
graphics/Player/Attack/Down/AttackBackDown6.png,,
graphics/Player/Attack/Down/AttackBackDown7.png,,
graphics/Player/Attack/Down/AttackBackDown8.png,,
graphics/Player/Attack/Down/AttackBackDown9.png,,
